Evaluation Query,RAGAS Metric Category,Phase 2 Score,Phase 4 Performance Target,Architectural Improvement Driver
What is Machine Learning?,Context Precision,0.75 (Avg Baseline),1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is Machine Learning?,Context Recall,0.80 (Avg Baseline),1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What is Machine Learning?,Answer Relevancy,0.78,0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is Machine Learning?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What are the main types of Machine Learning?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What are the main types of Machine Learning?,Context Recall,0.00,1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What are the main types of Machine Learning?,Answer Relevancy,0.78 (Avg Baseline),0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What are the main types of Machine Learning?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What is a Neural Network?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is a Neural Network?,Context Recall,0.80 (Avg Baseline),1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
What is a Neural Network?,Answer Relevancy,0.80,0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
What is a Neural Network?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
How does a Neural Network work?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
How does a Neural Network work?,Context Recall,0.80 (Avg Baseline),1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
How does a Neural Network work?,Answer Relevancy,0.82,0.92 - 0.98 (High Sharpness),Compressing the context down to the top 3 ultra-clean re-ranked chunks helps the LLM generate highly concise answers.
How does a Neural Network work?,Faithfulness,0.80 (Avg Baseline),1.00 (Zero Hallucination),Restricting the context window to verified text nodes ensures the model answers strictly using provided source material.
What is Deep Learning?,Context Precision,1.00,1.00 (Maximum Alignment),Cross-Encoder Re-ranking filters out noise and shifts the highest-relevance text slices straight to position index 0.
What is Deep Learning?,Context Recall,0.80 (Avg Baseline),1.00 (Full Term Retrieval),BM25 Keyword Matching captures exact matching terminology tokens that dense vector distance math alone diluted.
